referencia,nombre,familia,unidad,precio_tarifa,iva,atributos
13902272,MOP-09N7D6,otros,ud,800.00,21,{}
13902274,MOP-12N7D6,otros,ud,825.00,21,{}
13900092,Midea 13900092,accesorio,ud,600.00,21,{}
13900094,Midea 13900094,accesorio,ud,620.00,21,{}
13900096,Midea 13900096,accesorio,ud,1080.00,21,{}
13900098,Midea 13900098,accesorio,ud,1550.00,21,{}
13915205,MOM-07NXD0,otros,ud,590.00,21,{}
13900088,MOM-18NXD0,otros,ud,1080.00,21,{}
13950452,MOM-24NXD0,otros,ud,1420.00,21,{}
13930178,MO-09N8-Q,otros,ud,830.00,21,{}
13930074,MO-12N8-Q,otros,ud,1030.00,21,{}
13930075,MO-18N8-Q,otros,ud,1300.00,21,{}
13907811,Midea 13907811,accesorio,ud,1899.00,21,{}
13900125,Midea 13900125,accesorio,ud,599.00,21,{}
13900126,Midea 13900126,accesorio,ud,729.00,21,{}
13907719,Midea 13907719,accesorio,ud,799.00,21,{}
13907817,Midea 13907817,accesorio,ud,249.00,21,{}
13907815,Midea 13907815,accesorio,ud,329.00,21,{}
13907810,Midea 13907810,accesorio,ud,589.00,21,{}
13911063,Midea 13911063,accesorio,ud,1350.00,21,{}
13911064,Midea 13911064,accesorio,ud,1590.00,21,{}
13902177,Midea 13902177,accesorio,ud,1870.00,21,{}
13911065,Midea 13911065,accesorio,ud,1950.00,21,{}
13911066,Midea 13911066,accesorio,ud,2250.00,21,{}
13911067,Midea 13911067,accesorio,ud,2420.00,21,{}
13911068,Midea 13911068,accesorio,ud,3150.00,21,{}
13911069,Midea 13911069,accesorio,ud,3560.00,21,{}
13911070,Midea 13911070,accesorio,ud,1990.00,21,{}
13911071,Midea 13911071,accesorio,ud,2500.00,21,{}
13902187,Midea 13902187,accesorio,ud,1990.00,21,{}
13902188,Midea 13902188,accesorio,ud,2400.00,21,{}
13900091,Midea 13900091,accesorio,ud,230.00,21,{}
13900093,Midea 13900093,accesorio,ud,260.00,21,{}
13900095,Midea 13900095,accesorio,ud,380.00,21,{}
13900097,Midea 13900097,accesorio,ud,460.00,21,{}
13900099,Midea 13900099,accesorio,ud,260.00,21,{}
13900102,Midea 13900102,accesorio,ud,290.00,21,{}
13900103,Midea 13900103,accesorio,ud,430.00,21,{}
13900104,Midea 13900104,accesorio,ud,520.00,21,{}
13915209,Midea 13915209,accesorio,ud,200.00,21,{}
13915207,Midea 13915207,accesorio,ud,210.00,21,{}
13915208,Midea 13915208,accesorio,ud,230.00,21,{}
13900089,Midea 13900089,accesorio,ud,330.00,21,{}
13960451,Midea 13960451,accesorio,ud,450.00,21,{}
13902179,Midea 13902179,accesorio,ud,460.00,21,{}
13930283,Midea 13930283,accesorio,ud,485.00,21,{}
13930284,Midea 13930284,accesorio,ud,510.00,21,{}
13930186,Midea 13930186,accesorio,ud,80.00,21,{}
13930096,Midea 13930096,accesorio,ud,150.00,21,{}
13912554,Midea 13912554,accesorio,ud,575.00,21,{}
13912553,Midea 13912553,accesorio,ud,630.00,21,{}
13930197,Midea 13930197,accesorio,ud,640.00,21,{}
13930198,Midea 13930198,accesorio,ud,670.00,21,{}
13930199,Midea 13930199,accesorio,ud,710.00,21,{}
13902190,Midea 13902190,accesorio,ud,1100.00,21,{}
13902194,Midea 13902194,accesorio,ud,1250.00,21,{}
14082171,MHC-V4W/D2N8B2E30,bomba_calor,ud,4860.00,21,"{""potencia_kw"": 4.0}"
14082172,MHC-V6W/D2N8B2E30,bomba_calor,ud,4930.00,21,"{""potencia_kw"": 6.0}"
14082173,MHC-V8W/D2N8B2E30,bomba_calor,ud,5340.00,21,"{""potencia_kw"": 8.0}"
14082174,MHC-V10W/D2N8B2E30,bomba_calor,ud,5820.00,21,"{""potencia_kw"": 10.0}"
14082175,MHC-V12W/D2N8-B2E30,bomba_calor,ud,6940.00,21,"{""potencia_kw"": 12.0}"
14082176,MHC-V16W/D2N8-B2E30,bomba_calor,ud,7100.00,21,"{""potencia_kw"": 16.0}"
14082177,Midea 14082177,accesorio,ud,7310.00,21,{}
14082178,MHC-V12W/D2RN8,bomba_calor,ud,7210.00,21,"{""potencia_kw"": 12.0}"
14082179,MHC-V14W/D2RN8,bomba_calor,ud,7460.00,21,"{""potencia_kw"": 14.0}"
14082180,MHC-V16W/D2RN8,bomba_calor,ud,7630.00,21,"{""potencia_kw"": 16.0}"
14072194,MHC-V18W/D2RN8,bomba_calor,ud,10650.00,21,"{""potencia_kw"": 18.0}"
14072195,MHC-V22W/D2RN8,bomba_calor,ud,11020.00,21,"{""potencia_kw"": 22.0}"
14072196,MHC-V26W/D2RN8,bomba_calor,ud,11340.00,21,"{""potencia_kw"": 26.0}"
14072197,MHC-V30W/D2RN8,bomba_calor,ud,11600.00,21,"{""potencia_kw"": 30.0}"
14072218,MHC-V4W/D2N7-E30,bomba_calor,ud,5600.00,21,"{""potencia_kw"": 4.0}"
14072219,MHC-V6W/D2N7-E30,bomba_calor,ud,5800.00,21,"{""potencia_kw"": 6.0}"
14072246,MHC-V8WD2N7-B2E30,bomba_calor,ud,6840.00,21,"{""potencia_kw"": 8.0}"
14072247,MHC-V10WD2N7-B2E30,bomba_calor,ud,7470.00,21,"{""potencia_kw"": 10.0}"
14072248,MHC-V12WD2N7-B2E30,bomba_calor,ud,9000.00,21,"{""potencia_kw"": 12.0}"
14072249,MHC-V14WD2N7-B2E30,bomba_calor,ud,9400.00,21,"{""potencia_kw"": 14.0}"
14072250,MHC-V16WD2N7-B2E30,bomba_calor,ud,9640.00,21,"{""potencia_kw"": 16.0}"
14072253,MHC-V12WD2RN7,bomba_calor,ud,9250.00,21,"{""potencia_kw"": 12.0}"
14072254,MHC-V14WD2RN7,bomba_calor,ud,9800.00,21,"{""potencia_kw"": 14.0}"
14072255,MHC-V16WD2RN7,bomba_calor,ud,10100.00,21,"{""potencia_kw"": 16.0}"
14072294,MHC-V18WD2RN7,bomba_calor,ud,11500.00,21,"{""potencia_kw"": 18.0}"
14072295,MHC-V22WD2RN7,bomba_calor,ud,12800.00,21,"{""potencia_kw"": 22.0}"
14072296,MHC-V26WD2RN7,bomba_calor,ud,15500.00,21,"{""potencia_kw"": 26.0}"
14010251,MHC-V35WD2RN7,bomba_calor,ud,16000.00,21,"{""potencia_kw"": 35.0}"
14010252,MHC-V40WD2RN7,bomba_calor,ud,16900.00,21,"{""potencia_kw"": 40.0}"
14010253,Midea 14010253,accesorio,ud,17500.00,21,{}
14068083,Midea 14068083,accesorio,ud,2100.00,21,{}
14068084,Midea 14068084,accesorio,ud,2420.00,21,{}
14068085,Midea 14068085,accesorio,ud,3075.00,21,{}
14068086,Midea 14068086,accesorio,ud,3400.00,21,{}
13902191,Midea 13902191,accesorio,ud,1650.00,21,{}
13902192,Midea 13902192,accesorio,ud,1700.00,21,{}
13902193,Midea 13902193,accesorio,ud,1920.00,21,{}
13902184,Midea 13902184,accesorio,ud,2200.00,21,{}
13902185,Midea 13902185,accesorio,ud,2750.00,21,{}
14055056,Midea 14055056,accesorio,ud,1800.00,21,{}
13947045,Midea 13947045,accesorio,ud,2200.00,21,{}
14055049,Midea 14055049,accesorio,ud,600.00,21,{}
14055050,Midea 14055050,accesorio,ud,900.00,21,{}
13455131,Midea 13455131,accesorio,ud,900.00,21,{}
13455127,Midea 13455127,accesorio,ud,600.00,21,{}
14035108,Midea 14035108,accesorio,ud,30.00,21,{}
14035109,Midea 14035109,accesorio,ud,30.00,21,{}
14035110,Midea 14035110,accesorio,ud,30.00,21,{}
14035111,Midea 14035111,accesorio,ud,50.00,21,{}
14030100,Midea 14030100,accesorio,ud,2500.00,21,{}
14030101,Midea 14030101,accesorio,ud,2650.00,21,{}
14030102,Midea 14030102,accesorio,ud,2750.00,21,{}
14030103,Midea 14030103,accesorio,ud,3500.00,21,{}
14030104,Midea 14030104,accesorio,ud,3600.00,21,{}
14072285,Midea 14072285,accesorio,ud,3500.00,21,{}
14015236,Midea 14015236,accesorio,ud,1050.00,21,{}
14015234,Midea 14015234,accesorio,ud,1050.00,21,{}
13930176,MO-24N8-Q-1,otros,ud,1510.00,21,{}
13930177,MO-30N8-Q-1,otros,ud,1770.00,21,{}
13930078,MO-36N8-Q,otros,ud,2430.00,21,{}
13930079,MO-36N8-R,otros,ud,2700.00,21,{}
13930080,MO-42N8-Q,otros,ud,2970.00,21,{}
13930181,MO-48N8-Q-1,otros,ud,3220.00,21,{}
13930183,MO-48N8-R-1,otros,ud,3410.00,21,{}
13930182,MO-55N8-R-1,otros,ud,3440.00,21,{}
14047262,MOUG-68HD1N1-R,otros,ud,7960.00,21,{}
14047264,MOUG-76HD1N1-R,otros,ud,8160.00,21,{}
14047266,MOUG-96HD1N1-R,otros,ud,8480.00,21,{}
14047268,MOUG-120HD1N1-R,otros,ud,10170.00,21,{}
14047270,MOUG-140HD1N1-R,otros,ud,12170.00,21,{}
14047272,MOUG-150HD1N1-R,otros,ud,13670.00,21,{}
14047274,MOUG-192HD1N1-R,otros,ud,16170.00,21,{}
14068082,Midea 14068082,accesorio,ud,1760.00,21,{}
14000107,Midea 14000107,accesorio,ud,5200.00,21,{}
14000019,Midea 14000019,accesorio,ud,7350.00,21,{}
14000020,Midea 14000020,accesorio,ud,8020.00,21,{}
14000064,Midea 14000064,accesorio,ud,8120.00,21,{}
14000062,Midea 14000062,accesorio,ud,9470.00,21,{}
14000063,Midea 14000063,accesorio,ud,9790.00,21,{}
14059402,Midea 14059402,accesorio,ud,11640.00,21,{}
14059452,Midea 14059452,accesorio,ud,13500.00,21,{}
14020040,Midea 14020040,accesorio,ud,14600.00,21,{}
14000028,Midea 14000028,accesorio,ud,16030.00,21,{}
14000029,Midea 14000029,accesorio,ud,17010.00,21,{}
14000030,Midea 14000030,accesorio,ud,11192.00,21,{}
14000031,Midea 14000031,accesorio,ud,16878.00,21,{}
14020041,Midea 14020041,accesorio,ud,19211.00,21,{}
14000032,Midea 14000032,accesorio,ud,20912.00,21,{}
14000033,Midea 14000033,accesorio,ud,22120.00,21,{}
14000034,Midea 14000034,accesorio,ud,27718.00,21,{}
14000035,Midea 14000035,accesorio,ud,29914.00,21,{}
14000041,Midea 14000041,accesorio,ud,13450.00,21,{}
14000042,Midea 14000042,accesorio,ud,15310.00,21,{}
14000043,Midea 14000043,accesorio,ud,17730.00,21,{}
14000044,Midea 14000044,accesorio,ud,18500.00,21,{}
14000045,Midea 14000045,accesorio,ud,23000.00,21,{}
14000046,Midea 14000046,accesorio,ud,25300.00,21,{}
14000047,Midea 14000047,accesorio,ud,27830.00,21,{}
14000048,Midea 14000048,accesorio,ud,32050.00,21,{}
14000049,Midea 14000049,accesorio,ud,36440.00,21,{}
14072154,Midea 14072154,accesorio,ud,13450.00,21,{}
14072155,Midea 14072155,accesorio,ud,14220.00,21,{}
14072156,Midea 14072156,accesorio,ud,15970.00,21,{}
14072157,Midea 14072157,accesorio,ud,18500.00,21,{}
14072158,Midea 14072158,accesorio,ud,19430.00,21,{}
14072159,Midea 14072159,accesorio,ud,21190.00,21,{}
14072167,Midea 14072167,accesorio,ud,1610.00,21,{}
14072168,Midea 14072168,accesorio,ud,3230.00,21,{}
14072169,Midea 14072169,accesorio,ud,4300.00,21,{}
14072170,Midea 14072170,accesorio,ud,6560.00,21,{}
14010205,Midea 14010205,accesorio,ud,170.00,21,{}
14010206,Midea 14010206,accesorio,ud,170.00,21,{}
14010207,Midea 14010207,accesorio,ud,170.00,21,{}
14010208,Midea 14010208,accesorio,ud,170.00,21,{}
14010209,Midea 14010209,accesorio,ud,170.00,21,{}
14010210,Midea 14010210,accesorio,ud,170.00,21,{}
14010211,Midea 14010211,accesorio,ud,170.00,21,{}
14010255,Midea 14010255,accesorio,ud,170.00,21,{}
14010254,Midea 14010254,accesorio,ud,170.00,21,{}
14010213,Midea 14010213,accesorio,ud,170.00,21,{}
14010214,Midea 14010214,accesorio,ud,170.00,21,{}
14010217,Midea 14010217,accesorio,ud,170.00,21,{}
14010218,Midea 14010218,accesorio,ud,170.00,21,{}
14010219,Midea 14010219,accesorio,ud,170.00,21,{}
14010220,Midea 14010220,accesorio,ud,170.00,21,{}
14047247,Midea 14047247,accesorio,ud,170.00,21,{}
14047248,Midea 14047248,accesorio,ud,170.00,21,{}
14047249,Midea 14047249,accesorio,ud,170.00,21,{}
14047250,Midea 14047250,accesorio,ud,170.00,21,{}
14047251,Midea 14047251,accesorio,ud,170.00,21,{}
14047252,Midea 14047252,accesorio,ud,170.00,21,{}
14020042,Midea 14020042,accesorio,ud,3300.00,21,{}
14020043,Midea 14020043,accesorio,ud,3380.00,21,{}
14020044,Midea 14020044,accesorio,ud,3620.00,21,{}
14020045,Midea 14020045,accesorio,ud,4560.00,21,{}
14020046,Midea 14020046,accesorio,ud,4820.00,21,{}
14045962,Midea 14045962,accesorio,ud,110.00,21,{}
14045955,Midea 14045955,accesorio,ud,110.00,21,{}
14047285,Midea 14047285,accesorio,ud,110.00,21,{}
14047286,Midea 14047286,accesorio,ud,110.00,21,{}
14047287,Midea 14047287,accesorio,ud,110.00,21,{}
14047239,Midea 14047239,accesorio,ud,170.00,21,{}
14047244,Midea 14047244,accesorio,ud,170.00,21,{}
14047245,Midea 14047245,accesorio,ud,170.00,21,{}
14047240,Midea 14047240,accesorio,ud,170.00,21,{}
14068758,Midea 14068758,accesorio,ud,170.00,21,{}
14068760,Midea 14068760,accesorio,ud,170.00,21,{}
14068762,Midea 14068762,accesorio,ud,170.00,21,{}
14068764,Midea 14068764,accesorio,ud,170.00,21,{}
14010221,Midea 14010221,accesorio,ud,110.00,21,{}
14010222,Midea 14010222,accesorio,ud,110.00,21,{}
14010223,Midea 14010223,accesorio,ud,110.00,21,{}
14010224,Midea 14010224,accesorio,ud,110.00,21,{}
14010225,Midea 14010225,accesorio,ud,110.00,21,{}
14010226,Midea 14010226,accesorio,ud,110.00,21,{}
14068089,Midea 14068089,accesorio,ud,110.00,21,{}
14068090,Midea 14068090,accesorio,ud,110.00,21,{}
14068091,Midea 14068091,accesorio,ud,110.00,21,{}
