referencia,nombre,familia,unidad,precio_tarifa,iva,atributos
8000051692,Pack básico Iso ES 4 MiPro Sense inalámbrico NOVEDAD JULIO,otros,ud,10685.00,21,"{""control"": ""inalambrico""}"
8000051693,Pack básico Iso ES 4 MiPro Sense cableado,otros,ud,10585.00,21,"{""control"": ""cableado""}"
8000051694,Pack básico Iso ES 6 MiPro Sense inalámbrico,otros,ud,11425.00,21,"{""control"": ""inalambrico""}"
8000051688,Pack básico Iso ES 6 MiPro Sense cableado,otros,ud,11325.00,21,"{""control"": ""cableado""}"
8000051689,Pack básico Iso ES 8 MiPro Sense inalámbrico,otros,ud,12090.00,21,"{""control"": ""inalambrico""}"
8000051690,Pack básico Iso ES 8 MiPro Sense cableado,otros,ud,11990.00,21,"{""control"": ""cableado""}"
8000051701,Pack básico Iso ES 12 230V MiPro Sense inalámbrico,otros,ud,15425.00,21,"{""control"": ""inalambrico""}"
8000051702,Pack básico Iso ES 12 230V MiPro Sense cableado,otros,ud,15325.00,21,"{""control"": ""cableado""}"
8000051703,Pack básico Iso ES 12 400V MiPro Sense inalámbrico,otros,ud,16285.00,21,"{""trifasica"": true, ""control"": ""inalambrico""}"
8000051704,Pack básico Iso ES 12 400V MiPro Sense cableado,otros,ud,16185.00,21,"{""trifasica"": true, ""control"": ""cableado""}"
8000051705,Pack básico Iso ES 15 230V MiPro Sense inalámbrico,otros,ud,16145.00,21,"{""control"": ""inalambrico""}"
8000051715,Pack básico Iso ES 15 230V MiPro Sense cableado,otros,ud,16045.00,21,"{""control"": ""cableado""}"
8000051716,Pack básico Iso ES 15 400V MiPro Sense inalámbrico,otros,ud,17035.00,21,"{""trifasica"": true, ""control"": ""inalambrico""}"
8000051717,Pack básico Iso ES 15 400V MiPro Sense cableado,otros,ud,16935.00,21,"{""trifasica"": true, ""control"": ""cableado""}"
8000051940,Pack ampliación de cascada Iso ES 4,otros,ud,10340.00,21,{}
8000051951,Pack ampliación de cascada Iso ES 6,otros,ud,11080.00,21,{}
8000051952,Pack ampliación de cascada Iso ES 8,otros,ud,11745.00,21,{}
8000051953,Pack ampliación cascada Iso ES 12 230V,otros,ud,15080.00,21,{}
8000051943,Pack ampliación cascada Iso ES 12 400V,otros,ud,15940.00,21,"{""trifasica"": true}"
8000051944,Pack ampliación cascada Iso ES 15 230V,otros,ud,15800.00,21,{}
8000051945,Pack ampliación cascada Iso ES 15 400V,otros,ud,16690.00,21,"{""trifasica"": true}"
8000051946,Pack autónomo Iso ES 4 MiPro Sense inalámbrico,otros,ud,12645.00,21,"{""control"": ""inalambrico""}"
8000051947,Pack autónomo Iso ES 4 MiPro Sense cableado,otros,ud,12545.00,21,"{""control"": ""cableado""}"
8000051948,Pack autónomo Iso ES 6 MiPro Sense inalámbrico,otros,ud,13385.00,21,"{""control"": ""inalambrico""}"
8000051949,Pack autónomo Iso ES 6 MiPro Sense cableado,otros,ud,13285.00,21,"{""control"": ""cableado""}"
8000051950,Pack autónomo Iso ES 8 MiPro Sense inalámbrico,otros,ud,14050.00,21,"{""control"": ""inalambrico""}"
8000051961,Pack autónomo Iso ES 8 MiPro Sense cableado,otros,ud,13950.00,21,"{""control"": ""cableado""}"
8000051962,Pack autónomo Iso ES 12 230V MiPro Sense inalámbrico,otros,ud,17385.00,21,"{""control"": ""inalambrico""}"
8000051963,Pack autónomo Iso ES 12 230V MiPro Sense cableado,otros,ud,17285.00,21,"{""control"": ""cableado""}"
8000051965,Pack autónomo Iso ES 12 400V MiPro Sense inalámbrico,otros,ud,18245.00,21,"{""trifasica"": true, ""control"": ""inalambrico""}"
8000051966,Pack autónomo Iso ES 12 400V MiPro Sense cableado,otros,ud,18145.00,21,"{""trifasica"": true, ""control"": ""cableado""}"
8000051967,Pack autónomo Iso ES 15 230V MiPro Sense inalámbrico,otros,ud,18105.00,21,"{""control"": ""inalambrico""}"
8000051968,Pack autónomo Iso ES 15 230V MiPro Sense cableado,otros,ud,18005.00,21,"{""control"": ""cableado""}"
8000051969,Pack autónomo Iso ES 15 400V MiPro Sense inalámbrico,otros,ud,18995.00,21,"{""trifasica"": true, ""control"": ""inalambrico""}"
8000051970,Pack autónomo Iso ES 15 400V MiPro Sense cableado,otros,ud,18895.00,21,"{""trifasica"": true, ""control"": ""cableado""}"
8000051718,Pack GeniaSet Iso ES 4 MiPro Sense inalámbrico 1C,otros,ud,14255.00,21,"{""control"": ""inalambrico""}"
8000051719,Pack GeniaSet Iso ES 4 MiPro Sense cableado 1C,otros,ud,14155.00,21,"{""control"": ""cableado""}"
8000051720,Pack GeniaSet Iso ES 6 MiPro Sense inalámbrico 1C,otros,ud,14995.00,21,"{""control"": ""inalambrico""}"
8000051722,Pack GeniaSet Iso ES 6 MiPro Sense cableado 1C,otros,ud,14895.00,21,"{""control"": ""cableado""}"
8000051724,Pack GeniaSet Iso ES 8 MiPro Sense inalámbrico 1C,otros,ud,15660.00,21,"{""control"": ""inalambrico""}"
8000051725,Pack GeniaSet Iso ES 8 MiPro Sense cableado 1C,otros,ud,15560.00,21,"{""control"": ""cableado""}"
8000051726,Pack GeniaSet Iso ES 12 230V MiPro Sense inalámbrico 1C,otros,ud,18995.00,21,"{""control"": ""inalambrico""}"
8000051727,Pack GeniaSet Iso ES 12 230V MiPro Sense cableado 1C,otros,ud,18895.00,21,"{""control"": ""cableado""}"
8000051728,Pack GeniaSet Iso ES 12 400V MiPro Sense inalámbrico 1C,otros,ud,19855.00,21,"{""trifasica"": true, ""control"": ""inalambrico""}"
8000051730,Pack GeniaSet Iso ES 12 400V MiPro Sense cableado 1C,otros,ud,19755.00,21,"{""trifasica"": true, ""control"": ""cableado""}"
8000051741,Pack GeniaSet Iso ES 15 230V MiPro Sense inalámbrico 1C,otros,ud,19715.00,21,"{""control"": ""inalambrico""}"
8000051742,Pack GeniaSet Iso ES 15 230V MiPro Sense cableado 1C,otros,ud,19615.00,21,"{""control"": ""cableado""}"
8000051743,Pack GeniaSet Iso ES 15 400V MiPro Sense inalámbrico 1C,otros,ud,20605.00,21,"{""trifasica"": true, ""control"": ""inalambrico""}"
8000051744,Pack GeniaSet Iso ES 15 400V MiPro Sense cableado 1C,otros,ud,20505.00,21,"{""trifasica"": true, ""control"": ""cableado""}"
8000051745,Pack GeniaSet Iso ES 4 MiPro Sense inalámbrico 2C,otros,ud,15545.00,21,"{""control"": ""inalambrico""}"
8000051816,Pack GeniaSet Iso ES 4 MiPro Sense cableado 2C,otros,ud,15445.00,21,"{""control"": ""cableado""}"
8000051817,Pack GeniaSet Iso ES 6 MiPro Sense inalámbrico 2C,otros,ud,16285.00,21,"{""control"": ""inalambrico""}"
8000051819,Pack GeniaSet Iso ES 6 MiPro Sense cableado 2C NOVEDAD A PARTIR DE,otros,ud,16185.00,21,"{""control"": ""cableado""}"
8000051821,Pack GeniaSet Iso ES 8 MiPro Sense inalámbrico 2C NOVEDAD JULIO,otros,ud,16950.00,21,"{""control"": ""inalambrico""}"
8000051822,Pack GeniaSet Iso ES 8 MiPro Sense cableado 2C,otros,ud,16850.00,21,"{""control"": ""cableado""}"
8000051824,Pack GeniaSet Iso ES 12 230V MiPro Sense inalámbrico 2C,otros,ud,20285.00,21,"{""control"": ""inalambrico""}"
