referencia,nombre,familia,unidad,precio_tarifa,iva,atributos
0020306791,aroTHERM plus 4 básico sensoCOMFORT inalámbrico,bomba_calor,ud,8755.00,21,"{""potencia_kw"": 4.0, ""control"": ""inalambrico""}"
0020306792,aroTHERM plus 4 básico sensoCOMFORT cableado,bomba_calor,ud,8665.00,21,"{""potencia_kw"": 4.0, ""control"": ""cableado""}"
0020306793,aroTHERM plus 6 básico sensoCOMFORT inalámbrico,bomba_calor,ud,9385.00,21,"{""potencia_kw"": 6.0, ""control"": ""inalambrico""}"
0020306794,aroTHERM plus 6 básico sensoCOMFORT cableado,bomba_calor,ud,9295.00,21,"{""potencia_kw"": 6.0, ""control"": ""cableado""}"
0020306795,aroTHERM plus 8 básico sensoCOMFORT inalámbrico,bomba_calor,ud,9710.00,21,"{""potencia_kw"": 8.0, ""control"": ""inalambrico""}"
0020306796,aroTHERM plus 8 básico sensoCOMFORT cableado,bomba_calor,ud,9620.00,21,"{""potencia_kw"": 8.0, ""control"": ""cableado""}"
0020306797,aroTHERM plus 12 básico sensoCOMFORT inalámbrico,bomba_calor,ud,12780.00,21,"{""potencia_kw"": 12.0, ""control"": ""inalambrico""}"
0020306798,aroTHERM plus 12 básico sensoCOMFORT cableado,bomba_calor,ud,12690.00,21,"{""potencia_kw"": 12.0, ""control"": ""cableado""}"
0020306799,aroTHERM plus 12 básico sensoCOMFORT inalámbrico 400V,bomba_calor,ud,13515.00,21,"{""potencia_kw"": 12.0, ""trifasica"": true, ""control"": ""inalambrico""}"
0020306800,aroTHERM plus 12 básico sensoCOMFORT cableado 400V,bomba_calor,ud,13425.00,21,"{""potencia_kw"": 12.0, ""trifasica"": true, ""control"": ""cableado""}"
0020306801,aroTHERM plus 15 básico sensoCOMFORT inalámbrico,bomba_calor,ud,13395.00,21,"{""potencia_kw"": 15.0, ""control"": ""inalambrico""}"
0020306802,aroTHERM plus 15 básico sensoCOMFORT cableado,bomba_calor,ud,13305.00,21,"{""potencia_kw"": 15.0, ""control"": ""cableado""}"
0020306803,aroTHERM plus 15 básico sensoCOMFORT inalámbrico 400V,bomba_calor,ud,14150.00,21,"{""potencia_kw"": 15.0, ""trifasica"": true, ""control"": ""inalambrico""}"
0020306804,aroTHERM plus 15 básico sensoCOMFORT cableado 400V,bomba_calor,ud,14060.00,21,"{""potencia_kw"": 15.0, ""trifasica"": true, ""control"": ""cableado""}"
0020306891,Ampliación cascadas aroTHERM plus 4,cascada,ud,8440.00,21,{}
0020306892,Ampliación cascadas aroTHERM plus 6,cascada,ud,9070.00,21,{}
0020306893,Ampliación cascadas aroTHERM plus 8,cascada,ud,9395.00,21,{}
0020306894,Ampliación cascadas aroTHERM plus 12,cascada,ud,12465.00,21,{}
0020306895,Ampliación cascadas aroTHERM plus 12 400V,cascada,ud,13200.00,21,"{""trifasica"": true}"
0020306896,Ampliación cascadas aroTHERM plus 15,cascada,ud,13080.00,21,{}
0020306897,Ampliación cascadas aroTHERM plus 15 400V,cascada,ud,13835.00,21,"{""trifasica"": true}"
0020306805,aroTHERM plus 4 autónomo sensoCOMFORT inalámbrico,bomba_calor,ud,10620.00,21,"{""potencia_kw"": 4.0, ""control"": ""inalambrico""}"
0020306806,aroTHERM plus 4 autónomo sensoCOMFORT cableado,bomba_calor,ud,10530.00,21,"{""potencia_kw"": 4.0, ""control"": ""cableado""}"
0020306807,aroTHERM plus 6 autónomo sensoCOMFORT inalámbrico,bomba_calor,ud,11250.00,21,"{""potencia_kw"": 6.0, ""control"": ""inalambrico""}"
0020306808,aroTHERM plus 6 autónomo sensoCOMFORT cableado,bomba_calor,ud,11160.00,21,"{""potencia_kw"": 6.0, ""control"": ""cableado""}"
0020306809,aroTHERM plus 8 autónomo sensoCOMFORT inalámbrico,bomba_calor,ud,11575.00,21,"{""potencia_kw"": 8.0, ""control"": ""inalambrico""}"
0020306810,aroTHERM plus 8 autónomo sensoCOMFORT cableado,bomba_calor,ud,11485.00,21,"{""potencia_kw"": 8.0, ""control"": ""cableado""}"
0020306811,aroTHERM plus 12 autónomo sensoCOMFORT inalámbrico,bomba_calor,ud,14645.00,21,"{""potencia_kw"": 12.0, ""control"": ""inalambrico""}"
0020306812,aroTHERM plus 12 autónomo sensoCOMFORT cableado,bomba_calor,ud,14555.00,21,"{""potencia_kw"": 12.0, ""control"": ""cableado""}"
0020306813,aroTHERM plus 12 autónomo sensoCOMFORT inalámbrico 400V,bomba_calor,ud,15380.00,21,"{""potencia_kw"": 12.0, ""trifasica"": true, ""control"": ""inalambrico""}"
0020306814,aroTHERM plus 12 autónomo sensoCOMFORT cableado 400V,bomba_calor,ud,15290.00,21,"{""potencia_kw"": 12.0, ""trifasica"": true, ""control"": ""cableado""}"
0020306815,aroTHERM plus 15 autónomo sensoCOMFORT inalámbrico,bomba_calor,ud,15260.00,21,"{""potencia_kw"": 15.0, ""control"": ""inalambrico""}"
0020306816,aroTHERM plus 15 autónomo sensoCOMFORT cableado,bomba_calor,ud,15170.00,21,"{""potencia_kw"": 15.0, ""control"": ""cableado""}"
0020306817,aroTHERM plus 15 autónomo sensoCOMFORT inalámbrico 400V,bomba_calor,ud,16015.00,21,"{""potencia_kw"": 15.0, ""trifasica"": true, ""control"": ""inalambrico""}"
0020306818,aroTHERM plus 15 autónomo sensoCOMFORT cableado 400V,bomba_calor,ud,15925.00,21,"{""potencia_kw"": 15.0, ""trifasica"": true, ""control"": ""cableado""}"
0020309003,aroTHERM plus 6 autónomo sensoCOMFORT inalámbrico ACS (150 l),bomba_calor,ud,12235.00,21,"{""potencia_kw"": 6.0, ""control"": ""inalambrico""}"
0020309004,aroTHERM plus 6 autónomo sensoCOMFORT cableado ACS (150 l),bomba_calor,ud,12145.00,21,"{""potencia_kw"": 6.0, ""control"": ""cableado""}"
0020309005,aroTHERM plus 8 autónomo sensoCOMFORT inalámbrico ACS (150 l),bomba_calor,ud,12560.00,21,"{""potencia_kw"": 8.0, ""control"": ""inalambrico""}"
0020309006,aroTHERM plus 8 autónomo sensoCOMFORT cableado ACS (150 l),bomba_calor,ud,12470.00,21,"{""potencia_kw"": 8.0, ""control"": ""cableado""}"
0020309007,aroTHERM plus 12 autónomo sensoCOMFORT inalámbrico ACS (200 l),bomba_calor,ud,16560.00,21,"{""potencia_kw"": 12.0, ""control"": ""inalambrico""}"
0020309008,aroTHERM plus 12 autónomo sensoCOMFORT cableado ACS (200 l),bomba_calor,ud,16470.00,21,"{""potencia_kw"": 12.0, ""control"": ""cableado""}"
0020306871,aroTHERM plus 12 autónomo sensoCOMFORT inalámbrico ACS (500 l),bomba_calor,ud,18195.00,21,"{""potencia_kw"": 12.0, ""control"": ""inalambrico""}"
0020306872,aroTHERM plus 12 autónomo sensoCOMFORT cableado ACS (500 l),bomba_calor,ud,18105.00,21,"{""potencia_kw"": 12.0, ""control"": ""cableado""}"
0020309009,aroTHERM plus 12 autónomo sensoCOMFORT inalámbrico 400V ACS (200 l),bomba_calor,ud,17295.00,21,"{""potencia_kw"": 12.0, ""trifasica"": true, ""control"": ""inalambrico""}"
0020309010,aroTHERM plus 12 autónomo sensoCOMFORT cableado 400V ACS (200 l),bomba_calor,ud,17205.00,21,"{""potencia_kw"": 12.0, ""trifasica"": true, ""control"": ""cableado""}"
0020306877,aroTHERM plus 12 autónomo sensoCOMFORT inalámbrico 400V ACS (500 l),bomba_calor,ud,18930.00,21,"{""potencia_kw"": 12.0, ""trifasica"": true, ""control"": ""inalambrico""}"
0020306878,aroTHERM plus 12 autónomo sensoCOMFORT cableado 400V ACS (500 l),bomba_calor,ud,18840.00,21,"{""potencia_kw"": 12.0, ""trifasica"": true, ""control"": ""cableado""}"
0020309011,aroTHERM plus 15 autónomo sensoCOMFORT inalámbrico ACS (200 l),bomba_calor,ud,17175.00,21,"{""potencia_kw"": 15.0, ""control"": ""inalambrico""}"
0020309012,aroTHERM plus 15 autónomo sensoCOMFORT cableado ACS (200 l),bomba_calor,ud,17085.00,21,"{""potencia_kw"": 15.0, ""control"": ""cableado""}"
0020306883,aroTHERM plus 15 autónomo sensoCOMFORT inalámbrico ACS (500 l),bomba_calor,ud,18810.00,21,"{""potencia_kw"": 15.0, ""control"": ""inalambrico""}"
0020306884,aroTHERM plus 15 autónomo sensoCOMFORT cableado ACS (500 l),bomba_calor,ud,18720.00,21,"{""potencia_kw"": 15.0, ""control"": ""cableado""}"
0020309013,aroTHERM plus 15 autónomo sensoCOMFORT inalámbrico 400V ACS (200 l),bomba_calor,ud,17930.00,21,"{""potencia_kw"": 15.0, ""trifasica"": true, ""control"": ""inalambrico""}"
0020309014,aroTHERM plus 15 autónomo sensoCOMFORT cableado 400V ACS (200 l),bomba_calor,ud,17840.00,21,"{""potencia_kw"": 15.0, ""trifasica"": true, ""control"": ""cableado""}"
0020306889,aroTHERM plus 15 autónomo sensoCOMFORT inalámbrico 400V ACS (500 l),bomba_calor,ud,19565.00,21,"{""potencia_kw"": 15.0, ""trifasica"": true, ""control"": ""inalambrico""}"
0020306890,aroTHERM plus 15 autónomo sensoCOMFORT cableado 400V ACS (500 l),bomba_calor,ud,19475.00,21,"{""potencia_kw"": 15.0, ""trifasica"": true, ""control"": ""cableado""}"
0020306898,aroTHERM plus 4 compacto sensoCOMFORT inalámbrico,bomba_calor,ud,12155.00,21,"{""potencia_kw"": 4.0, ""control"": ""inalambrico""}"
0020306899,aroTHERM plus 4 compacto sensoCOMFORT cableado,bomba_calor,ud,12065.00,21,"{""potencia_kw"": 4.0, ""control"": ""cableado""}"
0020306900,aroTHERM plus 6 compacto sensoCOMFORT inalámbrico,bomba_calor,ud,12785.00,21,"{""potencia_kw"": 6.0, ""control"": ""inalambrico""}"
0020306901,aroTHERM plus 6 compacto sensoCOMFORT cableado,bomba_calor,ud,12695.00,21,"{""potencia_kw"": 6.0, ""control"": ""cableado""}"
0020306902,aroTHERM plus 8 compacto sensoCOMFORT inalámbrico,bomba_calor,ud,13110.00,21,"{""potencia_kw"": 8.0, ""control"": ""inalambrico""}"
0020306903,aroTHERM plus 8 compacto sensoCOMFORT cableado,bomba_calor,ud,13020.00,21,"{""potencia_kw"": 8.0, ""control"": ""cableado""}"
0020306904,aroTHERM plus 12 compacto sensoCOMFORT inalámbrico,bomba_calor,ud,16180.00,21,"{""potencia_kw"": 12.0, ""control"": ""inalambrico""}"
0020306905,aroTHERM plus 12 compacto sensoCOMFORT cableado,bomba_calor,ud,16090.00,21,"{""potencia_kw"": 12.0, ""control"": ""cableado""}"
0020306906,aroTHERM plus 12 compacto sensoCOMFORT inalámbrico 400V,bomba_calor,ud,16915.00,21,"{""potencia_kw"": 12.0, ""trifasica"": true, ""control"": ""inalambrico""}"
